#Dirchilet BC  (from /Users/houben/PhD/transect/transect/ogs/dipped/horizontal/thickness_55/transect_55_hor_RICHARDS_FLOW_BC_ST.asc.bc file) 
#Total BC nodes  276
#Node index, name, x, y, z,   value: 
63  PRESSURE1 1.000000000000e+03 0.000000000000e+00 2.658237818411e+01 1.000000000000e+01
64  PRESSURE1 1.000000000000e+03 0.000000000000e+00 2.690356485117e+01 1.000000000000e+01
65  PRESSURE1 1.000000000000e+03 0.000000000000e+00 2.722153965161e+01 1.000000000000e+01
66  PRESSURE1 1.000000000000e+03 0.000000000000e+00 2.753633470324e+01 1.000000000000e+01
67  PRESSURE1 1.000000000000e+03 0.000000000000e+00 2.784798180276e+01 1.000000000000e+01
68  PRESSURE1 1.000000000000e+03 0.000000000000e+00 2.815651243212e+01 1.000000000000e+01
69  PRESSURE1 1.000000000000e+03 0.000000000000e+00 2.846195775696e+01 1.000000000000e+01
70  PRESSURE1 1.000000000000e+03 0.000000000000e+00 2.876434862800e+01 1.000000000000e+01
71  PRESSURE1 1.000000000000e+03 0.000000000000e+00 2.906371559222e+01 1.000000000000e+01
72  PRESSURE1 1.000000000000e+03 0.000000000000e+00 2.936008888632e+01 1.000000000000e+01
73  PRESSURE1 1.000000000000e+03 0.000000000000e+00 2.965349844695e+01 1.000000000000e+01
74  PRESSURE1 1.000000000000e+03 0.000000000000e+00 2.994397391269e+01 1.000000000000e+01
75  PRESSURE1 1.000000000000e+03 0.000000000000e+00 3.023154462176e+01 1.000000000000e+01
76  PRESSURE1 1.000000000000e+03 0.000000000000e+00 3.051623962214e+01 1.000000000000e+01
77  PRESSURE1 1.000000000000e+03 0.000000000000e+00 3.079808767322e+01 1.000000000000e+01
78  PRESSURE1 1.000000000000e+03 0.000000000000e+00 3.107711724341e+01 1.000000000000e+01
79  PRESSURE1 1.000000000000e+03 0.000000000000e+00 3.135335651994e+01 1.000000000000e+01
80  PRESSURE1 1.000000000000e+03 0.000000000000e+00 3.162683340262e+01 1.000000000000e+01
81  PRESSURE1 1.000000000000e+03 0.000000000000e+00 3.189757551279e+01 1.000000000000e+01
82  PRESSURE1 1.000000000000e+03 0.000000000000e+00 3.216561020377e+01 1.000000000000e+01
83  PRESSURE1 1.000000000000e+03 0.000000000000e+00 3.243096454952e+01 1.000000000000e+01
84  PRESSURE1 1.000000000000e+03 0.000000000000e+00 3.269366535024e+01 1.000000000000e+01
85  PRESSURE1 1.000000000000e+03 0.000000000000e+00 3.295373914191e+01 1.000000000000e+01
86  PRESSURE1 1.000000000000e+03 0.000000000000e+00 3.321121219744e+01 1.000000000000e+01
87  PRESSURE1 1.000000000000e+03 0.000000000000e+00 3.346611052380e+01 1.000000000000e+01
88  PRESSURE1 1.000000000000e+03 0.000000000000e+00 3.371845986730e+01 1.000000000000e+01
89  PRESSURE1 1.000000000000e+03 0.000000000000e+00 3.396828571874e+01 1.000000000000e+01
90  PRESSURE1 1.000000000000e+03 0.000000000000e+00 3.421561331035e+01 1.000000000000e+01
91  PRESSURE1 1.000000000000e+03 0.000000000000e+00 3.446046762505e+01 1.000000000000e+01
92  PRESSURE1 1.000000000000e+03 0.000000000000e+00 3.470287339729e+01 1.000000000000e+01
93  PRESSURE1 1.000000000000e+03 0.000000000000e+00 3.494285510986e+01 1.000000000000e+01
94  PRESSURE1 1.000000000000e+03 0.000000000000e+00 3.518043700691e+01 1.000000000000e+01
95  PRESSURE1 1.000000000000e+03 0.000000000000e+00 3.541564308728e+01 1.000000000000e+01
96  PRESSURE1 1.000000000000e+03 0.000000000000e+00 3.564849710360e+01 1.000000000000e+01
97  PRESSURE1 1.000000000000e+03 0.000000000000e+00 3.587902257706e+01 1.000000000000e+01
98  PRESSURE1 1.000000000000e+03 0.000000000000e+00 3.610724279709e+01 1.000000000000e+01
99  PRESSURE1 1.000000000000e+03 0.000000000000e+00 3.633318081799e+01 1.000000000000e+01
