#Dirchilet BC  (from /Users/houben/phd/python/scripts/ogs5py/setup/1015_reali_14_stor_0.01_rech_whitenoise/transect_GROUNDWATER_FLOW_BC_ST.asc.bc file) 
#Total BC nodes  31
#Node index, name, x, y, z,   value: 
30060  HEAD 3.000000000000e+01 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30061  HEAD 3.100000000000e+01 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30062  HEAD 3.200000000000e+01 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30063  HEAD 3.300000000000e+01 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30064  HEAD 3.400000000000e+01 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30065  HEAD 3.500000000000e+01 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30066  HEAD 3.600000000000e+01 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30067  HEAD 3.700000000000e+01 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30068  HEAD 3.800000000000e+01 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30069  HEAD 3.900000000000e+01 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30070  HEAD 4.000000000000e+01 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30071  HEAD 4.100000000000e+01 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30072  HEAD 4.200000000000e+01 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30073  HEAD 4.300000000000e+01 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30074  HEAD 4.400000000000e+01 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30075  HEAD 4.500000000000e+01 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30076  HEAD 4.600000000000e+01 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30077  HEAD 4.700000000000e+01 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30078  HEAD 4.800000000000e+01 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30079  HEAD 4.900000000000e+01 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30080  HEAD 5.000000000000e+01 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30081  HEAD 5.100000000000e+01 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30082  HEAD 5.200000000000e+01 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30083  HEAD 5.300000000000e+01 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30084  HEAD 5.400000000000e+01 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30085  HEAD 5.500000000000e+01 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30086  HEAD 5.600000000000e+01 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30087  HEAD 5.700000000000e+01 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30088  HEAD 5.800000000000e+01 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30089  HEAD 5.900000000000e+01 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30090  HEAD 6.000000000000e+01 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30091  HEAD 6.100000000000e+01 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30092  HEAD 6.200000000000e+01 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30093  HEAD 6.300000000000e+01 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30094  HEAD 6.400000000000e+01 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30095  HEAD 6.500000000000e+01 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30096  HEAD 6.600000000000e+01 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30097  HEAD 6.700000000000e+01 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30098  HEAD 6.800000000000e+01 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30099  HEAD 6.900000000000e+01 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30100  HEAD 7.000000000000e+01 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30101  HEAD 7.100000000000e+01 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30102  HEAD 7.200000000000e+01 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30103  HEAD 7.300000000000e+01 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30104  HEAD 7.400000000000e+01 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30105  HEAD 7.500000000000e+01 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30106  HEAD 7.600000000000e+01 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30107  HEAD 7.700000000000e+01 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30108  HEAD 7.800000000000e+01 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30109  HEAD 7.900000000000e+01 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30110  HEAD 8.000000000000e+01 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30111  HEAD 8.100000000000e+01 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30112  HEAD 8.200000000000e+01 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30113  HEAD 8.300000000000e+01 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30114  HEAD 8.400000000000e+01 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30115  HEAD 8.500000000000e+01 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30116  HEAD 8.600000000000e+01 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30117  HEAD 8.700000000000e+01 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30118  HEAD 8.800000000000e+01 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30119  HEAD 8.900000000000e+01 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30120  HEAD 9.000000000000e+01 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30121  HEAD 9.100000000000e+01 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30122  HEAD 9.200000000000e+01 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30123  HEAD 9.300000000000e+01 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30124  HEAD 9.400000000000e+01 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30125  HEAD 9.500000000000e+01 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30126  HEAD 9.600000000000e+01 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30127  HEAD 9.700000000000e+01 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30128  HEAD 9.800000000000e+01 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30129  HEAD 9.900000000000e+01 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30130  HEAD 1.000000000000e+02 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30131  HEAD 1.010000000000e+02 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30132  HEAD 1.020000000000e+02 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30133  HEAD 1.030000000000e+02 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30134  HEAD 1.040000000000e+02 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30135  HEAD 1.050000000000e+02 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30136  HEAD 1.060000000000e+02 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30137  HEAD 1.070000000000e+02 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30138  HEAD 1.080000000000e+02 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30139  HEAD 1.090000000000e+02 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30140  HEAD 1.100000000000e+02 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30141  HEAD 1.110000000000e+02 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30142  HEAD 1.120000000000e+02 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30143  HEAD 1.130000000000e+02 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30144  HEAD 1.140000000000e+02 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30145  HEAD 1.150000000000e+02 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30146  HEAD 1.160000000000e+02 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30147  HEAD 1.170000000000e+02 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30148  HEAD 1.180000000000e+02 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30149  HEAD 1.190000000000e+02 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30150  HEAD 1.200000000000e+02 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30151  HEAD 1.210000000000e+02 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30152  HEAD 1.220000000000e+02 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30153  HEAD 1.230000000000e+02 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30154  HEAD 1.240000000000e+02 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30155  HEAD 1.250000000000e+02 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30156  HEAD 1.260000000000e+02 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30157  HEAD 1.270000000000e+02 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30158  HEAD 1.280000000000e+02 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30159  HEAD 1.290000000000e+02 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30160  HEAD 1.300000000000e+02 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30161  HEAD 1.310000000000e+02 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30162  HEAD 1.320000000000e+02 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30163  HEAD 1.330000000000e+02 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30164  HEAD 1.340000000000e+02 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30165  HEAD 1.350000000000e+02 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30166  HEAD 1.360000000000e+02 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30167  HEAD 1.370000000000e+02 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30168  HEAD 1.380000000000e+02 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30169  HEAD 1.390000000000e+02 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30170  HEAD 1.400000000000e+02 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30171  HEAD 1.410000000000e+02 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30172  HEAD 1.420000000000e+02 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30173  HEAD 1.430000000000e+02 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30174  HEAD 1.440000000000e+02 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30175  HEAD 1.450000000000e+02 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30176  HEAD 1.460000000000e+02 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30177  HEAD 1.470000000000e+02 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30178  HEAD 1.480000000000e+02 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30179  HEAD 1.490000000000e+02 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30180  HEAD 1.500000000000e+02 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30181  HEAD 1.510000000000e+02 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30182  HEAD 1.520000000000e+02 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30183  HEAD 1.530000000000e+02 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30184  HEAD 1.540000000000e+02 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30185  HEAD 1.550000000000e+02 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30186  HEAD 1.560000000000e+02 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30187  HEAD 1.570000000000e+02 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30188  HEAD 1.580000000000e+02 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30189  HEAD 1.590000000000e+02 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30190  HEAD 1.600000000000e+02 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30191  HEAD 1.610000000000e+02 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30192  HEAD 1.620000000000e+02 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30193  HEAD 1.630000000000e+02 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30194  HEAD 1.640000000000e+02 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30195  HEAD 1.650000000000e+02 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30196  HEAD 1.660000000000e+02 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30197  HEAD 1.670000000000e+02 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30198  HEAD 1.680000000000e+02 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30199  HEAD 1.690000000000e+02 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30200  HEAD 1.700000000000e+02 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30201  HEAD 1.710000000000e+02 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30202  HEAD 1.720000000000e+02 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30203  HEAD 1.730000000000e+02 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30204  HEAD 1.740000000000e+02 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30205  HEAD 1.750000000000e+02 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30206  HEAD 1.760000000000e+02 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
