 Aquifer-scale variables for Test 3  Transient, leaky, rainfall                          
         Time    Average H            Q          Kup            P
   6.5664E+06   5.6793E+01   5.4103E-04   2.0193E-05   8.6158E+00
   6.6528E+06   5.7708E+01   5.7491E-04   2.0749E-05   8.8805E+00
   6.7392E+06   5.8074E+01   5.3477E-04   1.9049E-05   8.0707E+00
   6.8256E+06   5.8251E+01   5.0608E-04   1.7914E-05   7.5303E+00
   6.9120E+06   5.8230E+01   4.7026E-04   1.6658E-05   8.6447E+00
   6.9984E+06   5.8717E+01   5.0075E-04   1.7437E-05   7.3035E+00
   7.0848E+06   5.9686E+01   5.6971E-04   1.9191E-05   8.1386E+00
   7.1712E+06   6.0113E+01   5.4508E-04   1.8101E-05   7.6197E+00
   7.2576E+06   6.0091E+01   4.9441E-04   1.6431E-05   8.5131E+00
   7.3440E+06   6.0070E+01   4.6863E-04   1.5585E-05   8.0232E+00
   7.4304E+06   6.0050E+01   4.4952E-04   1.4959E-05   7.6610E+00
   7.5168E+06   6.0617E+01   4.9613E-04   1.6205E-05   6.7164E+00
   7.6032E+06   6.0597E+01   4.5609E-04   1.4907E-05   7.6306E+00
   7.6896E+06   6.0577E+01   4.3703E-04   1.4293E-05   7.2752E+00
   7.7760E+06   6.0559E+01   4.2347E-04   1.3858E-05   7.0233E+00
   7.8624E+06   6.1203E+01   4.8540E-04   1.5556E-05   6.4076E+00
   7.9488E+06   6.1375E+01   4.6027E-04   1.4670E-05   5.9856E+00
   8.0352E+06   6.1356E+01   4.3488E-04   1.3869E-05   7.0299E+00
   8.1216E+06   6.1891E+01   4.7793E-04   1.4986E-05   6.1364E+00
   8.2080E+06   6.2055E+01   4.5894E-04   1.4317E-05   5.8177E+00
   8.2944E+06   6.2459E+01   4.7590E-04   1.4661E-05   5.9817E+00
   8.3808E+06   6.2439E+01   4.4439E-04   1.3699E-05   6.9316E+00
   8.4672E+06   6.2817E+01   4.6627E-04   1.4208E-05   5.7658E+00
   8.5536E+06   6.4339E+01   6.2073E-04   1.8076E-05   7.6078E+00
   8.6400E+06   6.4811E+01   5.6704E-04   1.6289E-05   6.7566E+00
